"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"5801",80027042,"TV Show","The Flash","Glen Winter","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht","United States"," May 22, 2019",2019,"TV-14","5 Seasons","Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp."
"5802",80018046,"TV Show","Velvet","Carlos Sedes","Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega","Spain"," May 22, 2017",2016,"TV-14","4 Seasons","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
"5804",70242081,"TV Show","Arrow","James Bamford","Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett","United States"," May 21, 2019",2019,"TV-14","7 Seasons","Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
"5805",80223556,"TV Show","Prince of Peoria","","Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams","United States"," May 20, 2019",2019,"TV-Y7","2 Seasons","Kids' TV, TV Comedies","A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son."
"5806",80170690,"TV Show","Rosario Tijeras","","Bárbara de Regil, José María de Tavira, Antonio Gaona, Hernán Mendoza, Vanessa Bauche, Christian Vasquez, José Sefami, Ariel López Padilla","Mexico"," May 20, 2019",2018,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends."
"5807",80077417,"TV Show","Colony","","Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter","United States"," May 2, 2019",2018,"TV-14","3 Seasons","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
"5808",70197057,"TV Show","Scandal","","Kerry Washington, Columbus Short, Darby Stanchfield, Katie Lowes, Guillermo Díaz, Joshua Malina, Jeff Perry, Bellamy Young, Tony Goldwyn, Scott Foley","United States"," May 19, 2018",2018,"TV-14","7 Seasons","Crime TV Shows, TV Dramas","A powerful team of Washington, D.C. lawyers makes scandals disappear while handling government crises and coping with problems of their own."
"5809",80044908,"TV Show","Mother Goose Club","","","United States"," May 19, 2017",2016,"TV-Y","2 Seasons","Kids' TV","Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along."
"5810",80025273,"TV Show","Inspector Gadget","","Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath","Canada, United States"," May 18, 2018",2017,"TV-Y7","4 Seasons","Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
"5811",70143864,"TV Show","Royal Pains","Jay Chandrasekhar","Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle","United States"," May 18, 2017",2016,"TV-PG","8 Seasons","TV Comedies, TV Dramas","Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes."
"5812",80179138,"TV Show","Nailed It","","Nicole Byer, Jacques Torres","United States"," May 17, 2019",2019,"TV-PG","3 Seasons","Reality TV","Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
"5813",80154610,"TV Show","The Rain","","Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen","Denmark, United States"," May 17, 2019",2019,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety – and answers."
"5814",80191680,"TV Show","White Gold","","Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross","United Kingdom"," May 17, 2019",2019,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
"5815",70245163,"TV Show","Call the Midwife","Philippa Lowthorpe","Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett","United Kingdom"," May 15, 2019",2018,"TV-14","8 Seasons","British TV Shows, International TV Shows, TV Dramas","This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent."
"5816",70202589,"TV Show","Sherlock","","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Andrew Scott","United Kingdom, United States"," May 15, 2017",2017,"TV-14","4 Seasons","British TV Shows, Crime TV Shows, International TV Shows","In this updated take on Sir Arthur Conan Doyle's beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues."
"5817",80049714,"TV Show","Master of None","","Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale","United States"," May 12, 2017",2017,"TV-MA","2 Seasons","TV Comedies","Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series."
"5818",80117748,"TV Show","Bill Nye Saves the World","","Bill Nye, Karlie Kloss, Derek Muller, Emily Calandrelli, Nazeem Hussain, Joanna Hausmann","United States"," May 11, 2018",2018,"TV-14","3 Seasons","Stand-Up Comedy & Talk Shows","Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives."
"5819",80184422,"TV Show","Ha Unlimited","","Tuck Boriboon, Ball Chernyim, Na’Kom Chuanchuen",""," May 11, 2018",2016,"TV-14","2 Seasons","International TV Shows, TV Comedies","Three comedians launch a company designed to spread happiness far and wide in this Thai sitcom packed with gags, sound effects and special guests."
"5820",80095699,"TV Show","Easy","","Aubrey Plaza, Judy Greer, Jane Adams, Zazie Beetz, Kate Berlant, Aya Cash, Michael Chernus, Kiersey Clemons, Orlando Bloom, Malin Akerman, Marc Maron, Dave Franco, Hannibal Buress, Jake Johnson, Emily Ratajkowski, Andrew Bachelor","United States"," May 10, 2019",2019,"TV-MA","3 Seasons","TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture."
"5821",80120485,"TV Show","The Mechanism","","Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro","Brazil"," May 10, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, TV Dramas","A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events."
"5823",80101826,"TV Show","LoliRock","","Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni","South Korea, France"," May 1, 2018",2016,"TV-Y","2 Seasons","Kids' TV","A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess."
"5826",80026506,"TV Show","Love","","Gillian Jacobs, Paul Rust, Claudia O'Doherty","United States"," March 9, 2018",2018,"TV-MA","3 Seasons","Romantic TV Shows, TV Comedies, TV Dramas","Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow."
"5828",80032178,"TV Show","Hap and Leonard","","James Purefoy, Michael Kenneth Williams, Jimmi Simpson, Bill Sage, Christina Hendricks, Pollyanna McIntosh, Jeff Pope, Neil Sandilands, Henry G. Sanders, Enrique Murciano","United States"," March 6, 2019",2018,"TV-MA","3 Seasons","Crime TV Shows, TV Dramas","In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
"5829",80211136,"TV Show","Secret City","","Anna Torv, Jacki Weaver, Dan Wyllie, Alex Dimitriades, Damon Herriman, Mekhi Phifer, Eugenia Yuan, Matt Zeremes, Alan Dale","Australia"," March 6, 2019",2016,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists."
"5830",70260729,"TV Show","Rectify","","Aden Young, Abigail Spencer, J. Smith-Cameron, Clayne Crawford, Luke Kirby, Adelaide Clemens, Jake Austin Walker, Jayson Warner Smith, Bruce McKinnon, J.D. Evermore, Michael O'Neill, Sean Bridgers, Johnny Ray Gill, Sharon Conley, Michael Vartan","United States"," March 4, 2017",2016,"TV-14","4 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","Convicted of rape and murder at age 18, Daniel Holden spends nearly 20 years on death row until DNA evidence brings the verdict into question."
"5832",80233664,"TV Show","Days We Stared at the Sun","","Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung","Taiwan"," March 31, 2018",2017,"TV-MA","2 Seasons","International TV Shows, TV Dramas","A model student resorts to violence after witnessing greed and corruption wreak havoc on his life."
"5833",80097034,"TV Show","Doctor Foster","","Suranne Jones, Bertie Carvel, Clare-Hope Ashitey, Cheryl Campbell, Jodie Comer, Victoria Hamilton, Martha Howe-Douglas, Adam James, Thusitha Jayasundera, Sara Stewart, Neil Stuke, Tom Taylor, Robert Pugh, Shazia Nicholls, Cian Barry, Megan Roberts, Charlie Cunniffe, Navin Chowdhry","United Kingdom"," March 31, 2018",2017,"TV-MA","2 Seasons","British TV Shows, International TV Shows, Romantic TV Shows","When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession."
"5834",80023644,"TV Show","Father Brown","Ian Barber","Mark Williams, Sorcha Cusack, Nancy Carroll, Alex Price, Hugo Speer, Tom Chambers, Keith Osborn","United Kingdom"," March 31, 2018",2017,"TV-14","6 Seasons","British TV Shows, Crime TV Shows, TV Dramas","A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton."
"5836",80233447,"TV Show","Wake Up","","Jag Huang, Chris Wu, Tiffany Hsu, Michael Huang, Lego Li, Summer Meng",""," March 31, 2018",2017,"TV-14","2 Seasons","International TV Shows, TV Dramas","After taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system."
"5839",80179201,"TV Show","Hoff the Record","Gordon Anderson","David Hasselhoff, Asim Chaudhry, Fergus Craig, Mark Quartley, Ella Smith, Brett Goldstein","United Kingdom"," March 31, 2017",2016,"TV-MA","2 Seasons","British TV Shows, TV Comedies","TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails."
"5841",80169785,"TV Show","Weird Wonders of the World","","Chris Packham","United Kingdom"," March 31, 2017",2016,"TV-PG","2 Seasons","British TV Shows, Docuseries, Science & Nature TV","From animal oddities and bizarre science to medical marvels, scientists and experts examine some of the world's strangest mysteries and phenomena."
"5843",80024057,"TV Show","How to Get Away with Murder","","Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil","United States"," March 30, 2019",2018,"TV-14","5 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
"5844",70153385,"TV Show","Trailer Park Boys","","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens","Canada"," March 30, 2018",2018,"TV-MA","12 Seasons","Classic & Cult TV, Crime TV Shows, International TV Shows","Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park."
"5845",80117809,"TV Show","On My Block","","Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Julio Macias, Jessica Marie Garcia, Ronni Hawk, Peggy Ann Blow, Paula Garcés, Danny Ramirez","United States"," March 29, 2019",2019,"TV-14","2 Seasons","Romantic TV Shows, TV Comedies, TV Dramas","In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school."
"5846",80095815,"TV Show","Santa Clarita Diet","","Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo","United States"," March 29, 2019",2019,"TV-MA","3 Seasons","TV Comedies, TV Horror, TV Thrillers","They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way."
"5847",80099753,"TV Show","Versailles","","George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman, Evan Williams, Elisa Lasowski, Joe Sheridan, Steve Cumyn, Anna Brewster, Maddison Jaizani, Pip Torrens, Catherine Walker, Lizzie Brocheré, Geoffrey Bateman","France, Canada"," March 29, 2019",2018,"TV-MA","3 Seasons","International TV Shows, TV Dramas","King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility."
"5848",80195839,"TV Show","Hyori's Bed & Breakfast","","Hyo-ri Lee, Sang-soon Lee, Ji-eun Lee",""," March 29, 2018",2018,"TV-PG","2 Seasons","International TV Shows, Korean TV Shows, Reality TV","K-pop diva Lee Hyo-ri and her husband open up their home on the beautiful Jeju Island to welcome travelers for free stays, meals and late-night chats."
"5849",80174280,"TV Show","Ainori Love Wagon: Asian Journey","","Becky, Audrey, Mayuko Kawakita, Shimon Okura","Japan"," March 28, 2019",2018,"TV-MA","2 Seasons","International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple."
